ID,Fit_sep_IGT_Arew,Fit_sep_IGT_Apun,Fit_sep_IGT_K,Fit_sep_IGT_betaF,Fit_sep_IGT_betaP,Fit_sep_SIGT_v1_Arew,Fit_sep_SIGT_v1_Apun,Fit_sep_SIGT_v1_K,Fit_sep_SIGT_v1_betaF,Fit_sep_SIGT_v1_betaP,Fit_sep_SIGT_v2_Arew,Fit_sep_SIGT_v2_Apun,Fit_sep_SIGT_v2_K,Fit_sep_SIGT_v2_betaF,Fit_sep_SIGT_v2_betaP,Fit_sep_SIGT_v3_Arew,Fit_sep_SIGT_v3_Apun,Fit_sep_SIGT_v3_K,Fit_sep_SIGT_v3_betaF,Fit_sep_SIGT_v3_betaP
7060,0.132427307,0.19058559,0.039887455,1.485788844,2.011546901,0.000749097,0.404364735,0.052668732,0.658387932,2.142662583,0.001015769,0.371375187,0.051690833,0.680113904,2.135233421,0.000889096,0.478121779,0.054894061,0.553144764,2.163594119
7061,0.116222862,0.145552413,0.027100874,1.512490655,2.281024072,0.004980994,0.378630454,0.050517241,1.001604917,1.39390297,0.007418723,0.343233637,0.049744635,1.06441051,1.289363413,0.005301926,0.447834921,0.052230339,0.6991094,1.460852874
7062,0.44814186,0.107646511,0.065734506,1.77215422,-0.154317802,0.002231773,0.489164382,0.046843221,1.593226648,0.628434117,0.00227304,0.483125219,0.047340466,1.652854086,0.677929396,0.002559935,0.562686534,0.04592555,1.16036274,0.726345542
7063,0.228858374,0.192453689,0.063828509,2.16305543,0.83720915,0.001522946,0.394667132,0.049073778,1.403116495,2.156016367,0.001739711,0.356358951,0.048869194,1.501519612,2.14249721,0.001679636,0.442178978,0.048048002,1.015223338,2.279362065
7064,0.218436701,0.039818749,0.020786798,1.359943006,3.163111427,0.00620629,0.411987751,0.049207144,0.872749664,1.481831578,0.010159685,0.385936753,0.048619292,0.88300729,1.331519778,0.006611264,0.503437473,0.050057431,0.577421503,1.547004879
7065,0.163481903,0.038274576,0.027237881,1.771443634,1.666725137,0.009872398,0.376096691,0.046385433,0.821212293,1.580830793,0.012346225,0.331481245,0.047205627,0.919272948,1.67247689,0.010083365,0.428823823,0.044241615,0.654069452,1.577172044
7066,0.084576901,0.041211293,0.056221931,1.687460338,-0.141069881,0.00122445,0.367135081,0.052291421,1.383276976,1.735253604,0.001455296,0.330447175,0.051304911,1.475101622,1.7188608,0.001433358,0.41501518,0.057533864,1.018056527,1.849599763
7067,0.197636519,0.07944079,0.038521565,1.084963006,1.141316556,0.016004143,0.384092299,0.045199892,1.203129196,2.220962215,0.019002699,0.343286242,0.0458716,1.31505865,2.388904257,0.014757783,0.439741223,0.042572811,0.930889164,2.313418146
7068,0.06061158,0.104912813,0.049420145,0.623494116,0.605124873,0.005315986,0.41825396,0.04683363,0.898604979,1.080904774,0.006125528,0.38585686,0.047462589,0.9553533,1.161186909,0.005682818,0.485613501,0.046026183,0.682163787,1.087756141
7069,0.262081832,0.031608556,0.02306038,1.748899605,2.333120579,0.001538724,0.365733904,0.044429816,0.90795242,0.176831398,0.001555028,0.32226137,0.04527135,0.985674356,0.209737277,0.001793636,0.422045776,0.041979326,0.74452176,0.166644915
7070,0.095663904,0.151906128,0.054914859,1.595429881,0.901519937,0.000916096,0.384384149,0.049509215,0.862134121,2.924443348,0.001125724,0.345729266,0.049234715,0.916091459,2.905889245,0.001275105,0.422962831,0.050070852,0.377893623,3.124781123
7071,0.206692732,0.066083379,0.057712695,2.373551044,-0.357358555,0.000911956,0.371434171,0.037317304,0.882698075,1.943874705,0.000934576,0.331836928,0.039374322,0.958751821,1.934099304,0.001067028,0.420452716,0.031021177,0.727156229,1.990399634
